Year,Link,Title,Authors,Attachment
2019,https://indico.cern.ch/event/773049/contributions/3581359/,Welcome,,https://indico.cern.ch/event/773049/contributions/3581359/attachments/1937605/3211552/CHEP2019_Welcome.pdf
2019,https://indico.cern.ch/event/773049/contributions/3581360/,Collaborative computing needs for DUNE,"Heidi Marie Schellman, ",https://indico.cern.ch/event/773049/contributions/3581360/attachments/1937523/3211447/Schellman_CHEP2019_v4-wide.pdf
2019,https://indico.cern.ch/event/773049/contributions/3581361/,Belle II,"David Dossett, ",https://indico.cern.ch/event/773049/contributions/3581361/attachments/1937652/3211644/belle2-status.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474765/,A Graph Neural Network Approach for Neutrino Signal Reconstruction from LarTPC Raw Data,"Federico Carminati, Sofia Vallecorsa, Maksim Artemev, ",https://indico.cern.ch/event/773049/contributions/3474765/attachments/1937737/3211868/GraphNNDune.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474311/,A novel centralized slow control and board management solution for ATCA blades based on the Zynq Ultrascale+ System-on-Chip,"Oliver Sander, Luis Ardila, Denis Tcherniakhovski, Matthias Norbert Balzer, Marc Weber, ",https://indico.cern.ch/event/773049/contributions/3474311/attachments/1933805/3211730/CHEP19_ZUSP_IPMC.pdf
2019,https://indico.cern.ch/event/773049/contributions/3473253/,A software framework for FCC studies: status and plans,"Clement Helsens, Valentin Volkl, Coralie Neubuser, Gerardo Ganis, Javier Cervantes Villanueva, ",https://indico.cern.ch/event/773049/contributions/3473253/attachments/1937626/3211584/chep2019_FCC-software.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474835/,Challenges and opportunities when migrating CERN e-mail system to open source,"Pawel Grzywaczewski, Giacomo Tenaglia, ",https://indico.cern.ch/event/773049/contributions/3474835/attachments/1937470/3213837/03.11_-_Migration_of_CERN_e-mail_system_to_open_source.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474805/,Extension of the INFN Tier-1 on a HPC system,"Tommaso Boccali, luca dell'Agnello, Daniele Bonacorsi, Concezio Bozzi, Anna Lupato, Alessio Gianelle, Alessandro De Salvo, Stefano Dal Pra, Stefano Zani, Daniele Spiga, Diego Ciangottini, Andrea Valassi, ",https://indico.cern.ch/event/773049/contributions/3474805/attachments/1937557/3211812/CHEP_2019_Adelaide.pdf
2019,https://indico.cern.ch/event/773049/contributions/3473787/,Machine Learning-based Anomaly Detection of Ganglia Monitoring data in HEP Data Center,"juan chen, Juan Chen, juan chen, Lu Wang, Qingbao Hu, ",https://indico.cern.ch/event/773049/contributions/3473787/attachments/1937489/3211311/chep2019_chenjuan.pdf
2019,https://indico.cern.ch/event/773049/contributions/3474438/,"ServiceX – A Distributed, Caching, Columnar Data Delivery Service","Benjamin Galewsky, Ilija Vukotic, Marc Gabriel Weinberg, Robert William Gardner Jr, ",https://indico.cern.ch/event/773049/contributions/3474438/attachments/1935769/3207764/BenGalewskyCHEP2019.pdf
