Year,Link,Title,Authors,Attachment
2018,https://indico.cern.ch/event/587955/contributions/3012146/,Welcome Opening,,https://indico.cern.ch/event/587955/contributions/3012146/attachments/1683246/2705353/CHEP2018-Welcome.pdf
2018,https://indico.cern.ch/event/587955/contributions/3012225/,Integrated HPC Infrastructure for the Research Communities in South-East Europe,,https://indico.cern.ch/event/587955/contributions/3012225/attachments/1683241/2705380/Atanassov-CHEP2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937194/,"HNSciCloud, a Hybrid Cloud for Science","Bob Jones, João Fernandes, Sergey Yakubov, Martin Gasthuber, Andrea Chierici, ",https://indico.cern.ch/event/587955/contributions/2937194/attachments/1680762/2704993/Joao-HNSciCloud-CHEP-plenary-16_3.pdf
2018,https://indico.cern.ch/event/587955/contributions/3012229/,HNSciCloud – Large-scale data processing and HPC for science with T-Systems hybrid cloud,,https://indico.cern.ch/event/587955/contributions/3012229/attachments/1683243/2705346/CHEP2018_T-Systems.pdf
2018,https://indico.cern.ch/event/587955/contributions/3012230/,HNSciCloud Multi-Cloud Approach – An open hybrid cloud for science,,https://indico.cern.ch/event/587955/contributions/3012230/attachments/1683230/2705556/CHEP2018_-_HNSciCloud_-_Final_-_v2.PPTX
2018,https://indico.cern.ch/event/587955/contributions/2937610/,A fully parametric option in the LHCb simulation framework,"Benedetto Gianluca Siddi, ",https://indico.cern.ch/event/587955/contributions/2937610/attachments/1682539/2705356/SiddiBenedetto_CHEP2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938082/,ALFA: ALICE-FAIR new message queuing based framework,"Mohammad Al-Turany, Alexey Rybalchenko, Dennis Klein, Thorsten Kollegger, Andrey Lebedev, Anar Manafov, Radoslaw Karabowicz, Florian Uhlig, Dmytro Kresan, ",https://indico.cern.ch/event/587955/contributions/2938082/attachments/1673468/2705157/ALFA_CHEP_2018.pptx
2018,https://indico.cern.ch/event/587955/contributions/2937381/,Experience running IceCube simulation workloads on the Titan supercomputer,"Vladimir Brik, David Schultz, Gonzalo Merino, ",https://indico.cern.ch/event/587955/contributions/2937381/attachments/1678395/2695559/CHEP_2018__HTCondor_on_Titan.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936858/,JADE Long Term Archive,"PATRICK MEADE, ",https://indico.cern.ch/event/587955/contributions/2936858/attachments/1683007/2704661/JADE_Long_Term_Archive-v1.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937094/,Lightweight WLCG Sites,"Mayank Sharma, Maarten Litmaath, ",https://indico.cern.ch/event/587955/contributions/2937094/attachments/1679080/2705150/SIMPLE-16-9-CHEP-2018-v3beta.pptx
2018,https://indico.cern.ch/event/587955/contributions/2937512/,Partnering with industry for machine learning at HL-LHC,"Maria Girone, ",https://indico.cern.ch/event/587955/contributions/2937512/attachments/1683065/2705991/CHEP18_Girone.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935749/,"The ToolDAQ DAQ software Framework and its use in the Hyper-K, E61 & ANNIE detectors","Benjamin Richards, ",https://indico.cern.ch/event/587955/contributions/2935749/attachments/1683191/2705231/The_ToolDAQ_DAQ_Framework_CHEP_2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936822/,CERN Tape Archive – from development to production deployment,"German Cancio Melia, Eric Cano, Steven Murray, Michael Davis, Julien Leduc, Vlado Bahyl, ",https://indico.cern.ch/event/587955/contributions/2936822/attachments/1678126/2696448/CTA_CHEP.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937151/,EVALUATING KUBERNETES AS AN ORCHESTRATOR OF THE HIGH LEVEL TRIGGER COMPUTING FARM OF THE TRIGGER AND DATA ACQUISITION SYSTEM OF THE ATLAS EXPERIMENT AT THE LARGE HADRON COLLIDER,"Jiri Masik, Giuseppe Avolio, ",https://indico.cern.ch/event/587955/contributions/2937151/attachments/1679250/2697181/Kubernetes-EF.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937524/,Improved Fast Calorimeter Simulation in ATLAS,"Hasib Ahmed, Jana Schaarschmidt, Flavia De Almeida Dias, ",https://indico.cern.ch/event/587955/contributions/2937524/attachments/1683098/2705160/fcs_sofia.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937501/,New Machine Learning Developments in ROOT/TMVA,"Lorenzo Moneta, Omar Andres Zapata Mesa, Sergei Gleyzer, Vladimir Ilievski, Kim Albertsson, Stefan Wunsch, Saurav Shekhar, Akshay Vashistha, Marc Huwiler, ",https://indico.cern.ch/event/587955/contributions/2937501/attachments/1678682/2705216/tmva-chep2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937383/,Production experience and performance for ATLAS data processing on a Cray XC-50 at CSCS,"Gianfranco Sciacca, Michael Weber, ",https://indico.cern.ch/event/587955/contributions/2937383/attachments/1678730/2696247/ATLAS-Daint-CHEP2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938126/,The ALICE Analysis Framework for LHC Run 3,"Dario Berzano, Roel Deckers, Costin Grigoras, Michele Floris, Peter Hristov, Mikolaj Krzewicki, Markus Bernhard Zimmermann, ",https://indico.cern.ch/event/587955/contributions/2938126/attachments/1678944/2705295/20180709_-_CHEP2018_-_The_ALICE_Analysis_Framework_for_LHC_Run_3.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935751/,The Continuously Running iFDAQ of the COMPASS Experiment,"Ondrej Subrt, Martin Bodlak, Vladimir Frolov, Stefan Huber, Vladimir Jary, Igor Konorov, Antonin Kveton, Dmytro Levit, Josef Novy, Dominik Steffen, Jan Tomsa, Miroslav Virius, ",https://indico.cern.ch/event/587955/contributions/2935751/attachments/1674862/2688556/CHEP2018_continuously_running_daq_presentation.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936830/,dCache: storage for advanced scientific use-cases and beyond,"Tigran Mkrtchyan, Olufemi Adeyemi, Gerd Behrmann, Patrick Fuhrmann, Vincent Garonne, Dmitry Litvintsev, Paul Millar, Albert  Rossi, Marina Sahakyan, Juergen Starek, ",https://indico.cern.ch/event/587955/contributions/2936830/attachments/1682926/2705006/dcache-sci-store.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937411/,Enabling production HEP workflows on Supercomputers at NERSC,"Lisa Gerhardt, Mustafa Mustafa, Rei Lee, Shane Canon, Wahid Bhimji, ",https://indico.cern.ch/event/587955/contributions/2937411/attachments/1683156/2705423/WahidBhimji-CHEP18-NERSC.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937608/,Fast calorimeter simulation in the LHCb Gauss framework,"Giacomo Vitali, Matteo Rama, ",https://indico.cern.ch/event/587955/contributions/2937608/attachments/1683154/2705103/fastcalo_lhcb_chep18.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938072/,From Catalogs to Cosmology: An Automated Weak Gravitational Lensing Analysis Pipeline,"Michael Wang, Eric Vaandering, ",https://indico.cern.ch/event/587955/contributions/2938072/attachments/1682180/2702936/chep2018-mwang.pptx
2018,https://indico.cern.ch/event/587955/contributions/2937190/,Lightweight on-demand computing with Elasticluster and Nordugrid ARC,"Maiken Pedersen, David Cameron, Andrej Filipcic, ",https://indico.cern.ch/event/587955/contributions/2937190/attachments/1679081/2705192/chepp-2018-NordugridARC-Elasticluster_with_notes.pdf
2018,https://indico.cern.ch/event/587955/contributions/2935791/,The Data acquisition system of the NA62 experiment at CERN,"Marco Boretto, Riccardo  Fantechi, Giovanna Lehmann-Miotto, Jonas Kunze, Angela Romano, ",https://indico.cern.ch/event/587955/contributions/2935791/attachments/1681300/2705357/2018-07-09-Sofia-CHEP-TheNA62DAQ.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937549/,The Scikit-HEP project,"Eduardo Rodrigues, ",https://indico.cern.ch/event/587955/contributions/2937549/attachments/1683232/2705316/2018-07-09_CHEP18Sofia_EduardoRodrigues.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937286/,BigPanDA Workflow Management on Titan for HENP and extreme scale applications,"Ruslan Mashinistov, Kaushik De, Jason C. Kincl, Alexei Klimentov, Pavlo Svirin, Jack C. Wells, ",https://indico.cern.ch/event/587955/contributions/2937286/attachments/1683059/2705499/Klimentov_CHEP-Jul2018.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937195/,CVMFS: Stratum0 in kubernetes,"Heath Skarlupka, David Schultz, Vladimir Brik, Gonzalo Merino, ",https://indico.cern.ch/event/587955/contributions/2937195/attachments/1678391/2695554/CVMFS_Kubernetes.pdf
2018,https://indico.cern.ch/event/587955/contributions/2950788/,Experience with Shifter Assistant: an intelligent tool to help operations of ATLAS TDAQ system in LHC Run 2,"Jiri Masik, Andrei Kazarov, ",https://indico.cern.ch/event/587955/contributions/2950788/attachments/1678903/2696544/ExperienceWithShifterAssistant.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937612/,Generative Models for Fast Calorimeter Simulation: LHCb Case,"Fedor Ratnikov, Fedor Ratnikov, Viktoriia Chekalina, ",https://indico.cern.ch/event/587955/contributions/2937612/attachments/1680985/2704964/chep-fast-sim_last3.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937542/,HIPSTER - a python package for particle physics analyses,"Thomas Paul Charman, Adrian Bevan, Jonathan Hays, ",https://indico.cern.ch/event/587955/contributions/2937542/attachments/1679196/2705391/CHEP_18_HIPSTER.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938083/,Software development for the NICA experiments: MpdRoot & BmnRoot,"Konstantin Gertsenberger, Oleg Rogachevsky, ",https://indico.cern.ch/event/587955/contributions/2938083/attachments/1678332/2705823/Gertsenberger_-_Software_development_for_NICA_experiments.pdf
2018,https://indico.cern.ch/event/587955/contributions/2936881/,The GridKa Tape System: status and outlook,"Doris Ressmann, Dorin Lobontu, Martin Beitzinger, Karin Schaefer, Andreas Heiss, Andreas Petzold, ",https://indico.cern.ch/event/587955/contributions/2936881/attachments/1680061/2705158/20180708_Ressmann_GridKa_Chep18.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937595/,A Machine Learning tool for fast simulation,"Federico Carminati, Gul Rukh Khattak, Sofia Vallecorsa, ",https://indico.cern.ch/event/587955/contributions/2937595/attachments/1683315/2705533/GANsimulation_Vallecorsa.pdf
2018,https://indico.cern.ch/event/587955/contributions/2938562/,ATLAS Technical Coordination Expert System,"Ignacio Asensi Tortajada, Saba Kvesitadze, George Salukvadze, Carlos Solans Sanchez, Kendall Reeves, Andre Rummler, ",https://indico.cern.ch/event/587955/contributions/2938562/attachments/1678287/2705580/ATLAS_TC_ExpertSystem.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937198/,Exploiting private and commercial clouds to generate on-demand CMS computing facilities with DODAS,"Daniele Spiga, Alvaro Lopez Garcia, aida palacido, Cristina Duma, Mirco Tracolli, Tommaso Boccali, Diego Ciangottini, Marica Antonacci, Andrea Ceccanti, Davide Salomoni, Giacinto Donvito, ",https://indico.cern.ch/event/587955/contributions/2937198/attachments/1682105/2702791/CHEP-2018-Spiga.pdf
2018,https://indico.cern.ch/event/587955/contributions/2937563/,"Interactive, scalable, reproducible data analysis with containers, Jupyter, and Parsl","Yadu Babuji, Kyle Chard, Ian Foster, Daniel S. Katz, Michael Wilde, Anna Elizabeth Woodard, Justin M. Wozniak, ",https://indico.cern.ch/event/587955/contributions/2937563/attachments/1683321/2707679/2018-07-09_CHEP_Parsl.pdf
