ID,Link,Title
12488,https://indico.jlab.org/event/459/contributions/12488/,Welcome and Introduction to CHEP23,https://indico.jlab.org/event/459/contributions/12488/attachments/9272/13660/CHEP23-LOC-welcome.pdf
12489,https://indico.jlab.org/event/459/contributions/12489/,Keynote: Evolutions and Revolutions in Computing: Science at the Frontier,https://indico.jlab.org/event/459/contributions/12489/attachments/9224/13387/20230508%20CHEP%20Dean.pptx
12490,https://indico.jlab.org/event/459/contributions/12490/,Kenote: Future Trends in Nuclear Physics Computing,https://indico.jlab.org/event/459/contributions/12490/attachments/9468/13733/Diefenthaler-CHEP2023-Keynote.pdf
11844,https://indico.jlab.org/event/459/contributions/11844/,Application of performance portability solutions for GPUs and many-core CPUs to track reconstruction kernels,https://indico.jlab.org/event/459/contributions/11844/attachments/9474/13732/p2r-CHEP23.pdf
11300,https://indico.jlab.org/event/459/contributions/11300/,dCache: storage system for data intensive science,https://indico.jlab.org/event/459/contributions/11300/attachments/9368/13685/dcache-sci-storage.pdf
11472,https://indico.jlab.org/event/459/contributions/11472/,Distributed Machine Learning with PanDA and iDDS in LHC ATLAS,https://indico.jlab.org/event/459/contributions/11472/attachments/9422/13778/dml_idds_20230405%20-%20annotated%20draft%202.pptx
11674,https://indico.jlab.org/event/459/contributions/11674/,Involving the new generations in Fermilab endeavours,https://indico.jlab.org/event/459/contributions/11674/attachments/9436/13682/CHEP2003-InvolvingNewGenerations.pdf
11521,https://indico.jlab.org/event/459/contributions/11521/,Is Julia ready to be adopted by HEP?,https://indico.jlab.org/event/459/contributions/11521/attachments/9507/13783/Julia%20in%20HEP.pdf
11453,https://indico.jlab.org/event/459/contributions/11453/,Machine learning for ambiguity resolution in ACTS,https://indico.jlab.org/event/459/contributions/11453/attachments/9329/13530/Machine-learning-for-Ambiguity-Resolution-in-Acts.pdf
11722,https://indico.jlab.org/event/459/contributions/11722/,MLHad: Simulating Hadronization with Machine Learning,https://indico.jlab.org/event/459/contributions/11722/attachments/9274/13448/MLhad%20-%20CHEP%202023.pdf
11394,https://indico.jlab.org/event/459/contributions/11394/,One year of LHCb triggerless DAQ: achievements and lessons learned.,https://indico.jlab.org/event/459/contributions/11394/attachments/9352/13557/fpisani_CHEP_2023.pdf
11570,https://indico.jlab.org/event/459/contributions/11570/,RooFit's new heterogeneous computing backend,https://indico.jlab.org/event/459/contributions/11570/attachments/9440/13688/roofit_heterogeneous_chep_2023_with_transitions.pdf
11622,https://indico.jlab.org/event/459/contributions/11622/,Securing an Open and Trustworthy Ecosystem for Research Infrastructure and Applications (SOTERIA),https://indico.jlab.org/event/459/contributions/11622/attachments/9326/13526/SOTERIA%20-%20CHEP.pdf
11480,https://indico.jlab.org/event/459/contributions/11480/,ATLAS data analysis using a parallelized workflow on distributed cloud-based services with GPUs,https://indico.jlab.org/event/459/contributions/11480/attachments/9316/13513/CHEP_2023_JaySandesara_vFinal.pdf
11707,https://indico.jlab.org/event/459/contributions/11707/,DUNE Computing Tutorials,https://indico.jlab.org/event/459/contributions/11707/attachments/9473/13746/CHEP23-DUNE-Computing-Tutorials-DeMuth-v1.3.pdf
11325,https://indico.jlab.org/event/459/contributions/11325/,Erasure Coding Xrootd Object Store,https://indico.jlab.org/event/459/contributions/11325/attachments/9234/13400/CHEP2023ErasureCodingXrootdObjectStore.v1.pdf
11432,https://indico.jlab.org/event/459/contributions/11432/,Generalizing mkFit and its Application to HL-LHC,https://indico.jlab.org/event/459/contributions/11432/attachments/9330/13614/mkFit-CHEP-2023.pdf
11802,https://indico.jlab.org/event/459/contributions/11802/,INFN and the evolution of distributed scientific computing in Italy,https://indico.jlab.org/event/459/contributions/11802/attachments/9232/13397/evolution_computing_040523.pdf
